Date,Close
2018-06-05,7661.79
2018-06-06,7700.1099
2018-06-07,7627.52
2018-06-08,7513.6899
2018-06-09,6773.7202
2018-06-10,6887.3701
2018-06-11,6556.9399
2018-06-12,6310.4302
2018-06-13,6643.2598
2018-06-14,6396.71
2018-06-15,6503.1001
2018-06-16,6457.7798
2018-06-17,6714.8198
2018-06-18,6741.2798
2018-06-19,6761.27
2018-06-20,6720.6401
2018-06-21,6051.4702
2018-06-22,6166.54
2018-06-23,6157.7798
2018-06-24,6260.3501
2018-06-25,6088.3901
2018-06-26,6141.5698
2018-06-27,5871.2798
2018-06-28,6203.7998
2018-06-29,6385.3799
2018-06-30,6339.04
2018-07-01,6615.6602
2018-07-02,6509.5801
2018-07-03,6590.0601
2018-07-04,6534.8101
2018-07-05,6602.02
2018-07-06,6758.0801
2018-07-07,6707.3799
2018-07-08,6668.8398
2018-07-09,6306.8501
2018-07-10,6394.3599
2018-07-11,6253.6001
2018-07-12,6229.8301
2018-07-13,6268.75
2018-07-14,6364.2598
2018-07-15,6740.5498
2018-07-16,7326.7002
2018-07-17,7383.3901
2018-07-18,7477.5
2018-07-19,7333.9302
2018-07-20,7405.3999
2018-07-21,7398.6401
2018-07-22,7718.0
2018-07-23,8395.8203
2018-07-24,8170.23
2018-07-25,7937.25
2018-07-26,8182.8901
2018-07-27,8230.8701
2018-07-28,8216.7803
2018-07-29,8176.0601
2018-07-30,7735.2998
2018-07-31,7610.8999
2018-08-01,7542.3398
2018-08-02,7417.6001
2018-08-03,7017.8901
2018-08-04,7042.3901
2018-08-05,6945.7798
2018-08-06,6723.21
2018-08-07,6285.02
2018-08-08,6543.2402
2018-08-09,6153.4102
2018-08-10,6242.54
2018-08-11,6322.9199
2018-08-12,6263.2002
2018-08-13,6199.6001
2018-08-14,6274.2202
2018-08-15,6323.8101
2018-08-16,6591.1602
2018-08-17,6405.71
2018-08-18,6502.1802
2018-08-19,6269.8999
2018-08-20,6491.1099
2018-08-21,6366.1299
2018-08-22,6538.9502
2018-08-23,6708.96
2018-08-24,6749.5601
2018-08-25,6720.6001
2018-08-26,6915.73
2018-08-27,7091.3799
2018-08-28,7052.0
2018-08-29,6998.7598
2018-08-30,7026.96
2018-08-31,7203.46
2018-09-01,7301.2598
2018-09-02,7270.0498
2018-09-03,7369.8599
2018-09-04,6705.0298
2018-09-05,6515.4199
2018-09-06,6411.7798
2018-09-07,6200.1602
2018-09-08,6249.0698
2018-09-09,6324.4302
2018-09-10,6295.54
2018-09-11,6337.1099
2018-09-12,6492.0
2018-09-13,6486.0098
2018-09-14,6522.0801
2018-09-15,6502.4399
2018-09-16,6261.48
2018-09-17,6346.4399
2018-09-18,6398.7998
2018-09-19,6505.8999
2018-09-20,6762.0601
2018-09-21,6716.6001
2018-09-22,6702.7002
2018-09-23,6583.5298
2018-09-24,6437.7402
2018-09-25,6462.6001
2018-09-26,6686.1299
2018-09-27,6635.3799
2018-09-28,6603.75
2018-09-29,6623.71
2018-09-30,6594.98
2018-10-01,6525.4702
2018-10-02,6492.2598
2018-10-03,6579.79
2018-10-04,6632.8701
2018-10-05,6589.9399
2018-10-06,6601.1499
2018-10-07,6650.0698
2018-10-08,6631.79
2018-10-09,6581.0698
2018-10-10,6209.4702
2018-10-11,6250.8501
2018-10-12,6267.27
2018-10-13,6277.73
2018-10-14,6612.3599
2018-10-15,6583.0498
2018-10-16,6574.52
2018-10-17,6488.7202
2018-10-18,6469.2798
2018-10-19,6490.5601
2018-10-20,6509.8701
2018-10-21,6483.23
2018-10-22,6470.2202
2018-10-23,6476.25
2018-10-24,6462.77
2018-10-25,6457.21
2018-10-26,6470.1699
2018-10-27,6470.7402
2018-10-29,6313.9102
2018-10-30,6309.1099
2018-10-31,6342.6099
2018-11-01,6381.2998
2018-11-02,6394.6602
2018-11-03,6376.3198
2018-11-04,6467.0498
2018-11-05,6433.7402
2018-11-06,6479.7202
2018-11-07,6529.6802
2018-11-08,6446.0601
2018-11-09,6377.9902
2018-11-10,6396.3701
2018-11-11,6408.1802
2018-11-12,6375.0801
2018-11-13,6339.1699
2018-11-14,5741.4702
2018-11-15,5647.5
2018-11-16,5586.27
2018-11-17,5568.9399
2018-11-18,5615.2598
2018-11-19,4809.6201
2018-11-20,4441.8101
2018-11-21,4593.04
2018-11-22,4320.6802
2018-11-23,4343.4199
2018-11-24,3854.1101
2018-11-25,4004.1499
2018-11-26,3784.5901
2018-11-27,3822.99
2018-11-28,4263.5498
2018-11-29,4286.6899
2018-11-30,4009.6699
2018-12-01,4197.46
2018-12-02,4143.8599
2018-12-03,3871.4099
2018-12-04,3948.4399
2018-12-05,3737.53
2018-12-06,3485.1799
2018-12-07,3420.5701
2018-12-08,3461.0701
2018-12-09,3592.8401
2018-12-10,3467.1599
2018-12-11,3401.02
2018-12-12,3485.5901
2018-12-13,3305.1101
2018-12-14,3235.48
2018-12-15,3232.51
2018-12-16,3255.3701
2018-12-17,3548.1899
2018-12-18,3715.8501
2018-12-19,3736.54
2018-12-20,4137.6602
2018-12-21,3898.8101
2018-12-22,4045.24
2018-12-23,4007.6299
2018-12-24,4081.95
2018-12-25,3834.73
2018-12-26,3848.78
2018-12-27,3646.0901
2018-12-28,3947.8601
2018-12-29,3797.0601
2018-12-30,3896.21
2018-12-31,3747.3899
2019-01-01,3880.1499
2019-01-02,3961.01
